id,era,title,artist,year,description,image
15,Renaissance,The School of Athens,Raphael,1509-1511,"A fresco painting depicting a gathering of ancient Greek philosophers, representing the pursuit of knowledge and philosophy.",https://upload.wikimedia.org/wikipedia/commons/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg
16,Renaissance,The Creation of Eve,Michelangelo,1508-1512,A panel painting on the ceiling of the Sistine Chapel depicting the creation of Eve from the biblical story of Adam and Eve.,https://www.michelangelo.org/images/artworks/creation-of-eve.jpg
17,Renaissance,The Sistine Madonna,Raphael,1512-1513,"A religious painting depicting the Virgin Mary, with the Christ Child and saints, known for its soft colors and emotional impact.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/RAFAEL_-_Madonna_Sixtina_%28Gem%C3%A4ldegalerie_Alter_Meister%2C_Dresden%2C_1513-14._%C3%93leo_sobre_lienzo%2C_265_x_196_cm%29.jpg/1200px-RAFAEL_-_Madonna_Sixtina_%28Gem%C3%A4ldegalerie_Alter_Meister%2C_Dresden%2C_1513-14._%C3%93leo_sobre_lienzo%2C_265_x_196_cm%29.jpg
18,Renaissance,The Last Judgment,Michelangelo,1536-1541,A massive fresco painting on the altar wall of the Sistine Chapel depicting the second coming of Christ and the final judgment.,https://upload.wikimedia.org/wikipedia/commons/1/18/Last_Judgement_%28Michelangelo%29.jpg
19,Renaissance,The David,Michelangelo,1501-1504,"A marble sculpture depicting the biblical hero David, known for its exceptional detail and representation of human anatomy.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Michelangelo%27s_David_-_right_view_2.jpg/1200px-Michelangelo%27s_David_-_right_view_2.jpg
20,Renaissance,Primavera,Sandro Botticelli,1477-1482,"A large-scale mythological painting depicting a group of mythological figures in a springtime garden, symbolizing the arrival of spring and the rebirth of nature.",https://upload.wikimedia.org/wikipedia/commons/3/3c/Botticelli-primavera.jpg
21,Baroque,The Calling of St. Matthew,Caravaggio,1599,A dramatic painting depicting the biblical scene of Jesus calling St. Matthew to become one of his disciples.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/The_Calling_of_Saint_Matthew-Caravaggo_%281599-1600%29.jpg/1200px-The_Calling_of_Saint_Matthew-Caravaggo_%281599-1600%29.jpg
22,Baroque,The Ecstasy of St. Teresa,Gian Lorenzo Bernini,1647-1652,"A sculptural group representing the mystical experience of St. Teresa of Avila, depicting her in a state of spiritual ecstasy.",https://upload.wikimedia.org/wikipedia/commons/6/6b/Ecstasy_of_Saint_Teresa_September_2015-2a.jpg
23,Baroque,The Night Watch,Rembrandt van Rijn,1642,"A famous group portrait of a city militia, known as the ""Night Watch,"" showcasing Rembrandt's mastery of light, shadow, and characterization.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/The_Night_Watch_-_HD.jpg/1200px-The_Night_Watch_-_HD.jpg
24,Baroque,The Conversion of St. Paul,Caravaggio,1601,"A powerful painting depicting the moment of St. Paul's conversion on the road to Damascus, with intense light and dramatic realism.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/The_Conversion_of_Saint_Paul-Caravaggio_%28c._1600-1%29.jpg/1200px-The_Conversion_of_Saint_Paul-Caravaggio_%28c._1600-1%29.jpg
25,Baroque,The Raising of the Cross,Peter Paul Rubens,1610-1611,"A monumental altarpiece depicting the crucifixion of Jesus Christ, displaying Rubens' dynamic composition and use of color.",https://blog.artgeek.io/wp-content/uploads/2020/04/1Triptych-.jpg
26,Baroque,The Coronation of the Virgin,Diego Velázquez,1645-1646,"A painting depicting the coronation of the Virgin Mary in heaven, showcasing Velázquez's mastery of light and shadow.",https://upload.wikimedia.org/wikipedia/commons/d/da/Peter_Paul_Rubens_079.jpg
27,Baroque,The Allegory of the Faith,Johannes Vermeer,1670-1672,"A symbolic painting representing the virtue of faith, featuring a female figure holding a chalice and a Bible.",https://upload.wikimedia.org/wikipedia/commons/1/19/Johannes_Vermeer%2C_Allegory_of_the_Catholic_Faith%2C_The_Metropolitan_Museum_of_Art.jpg
28,Baroque,The Triumph of Bacchus,Diego Velázquez,1628-1629,A lively and festive painting depicting the Roman god Bacchus (Dionysus) surrounded by revelers and wine.,https://upload.wikimedia.org/wikipedia/commons/5/5d/Vel%C3%A1zquez_-_El_Triunfo_de_Baco_o_Los_Borrachos_%28Museo_del_Prado%2C_1628-29%29.jpg
29,Baroque,The Sacrifice of Isaac,Caravaggio,1603,"A dramatic painting illustrating the biblical story of Abraham's willingness to sacrifice his son Isaac, showcasing Caravaggio's use of chiaroscuro.",https://upload.wikimedia.org/wikipedia/commons/b/b8/Sacrifice_of_Isaac-Caravaggio_%28c._1603%29.jpg
30,Baroque,The Anatomy Lesson of Dr. Nicolaes Tulp,Rembrandt van Rijn,1632,"A group portrait depicting Dr. Nicolaes Tulp demonstrating a dissection to fellow surgeons, highlighting Rembrandt's mastery of portraiture and lighting effects.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Rembrandt_-_The_Anatomy_Lesson_of_Dr_Nicolaes_Tulp.jpg/1200px-Rembrandt_-_The_Anatomy_Lesson_of_Dr_Nicolaes_Tulp.jpg
31,Neoclassicism,The Death of Marat,Jacques-Louis David,1793,A powerful and iconic painting depicting the murdered French revolutionary leader Jean-Paul Marat in his bathtub.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Death_of_Marat_by_David.jpg/1200px-Death_of_Marat_by_David.jpg
32,Neoclassicism,Oath of the Horatii,Jacques-Louis David,1784,"A monumental painting depicting a scene from Roman history, showcasing the oath-taking ceremony of the Horatii brothers.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Jacques-Louis_David_-_Oath_of_the_Horatii_-_Google_Art_Project.jpg/2560px-Jacques-Louis_David_-_Oath_of_the_Horatii_-_Google_Art_Project.jpg
33,Neoclassicism,The Sleep of Reason Produces Monsters,Francisco Goya,1799,"An etching from Goya's series of prints titled ""Los Caprichos,"" depicting a man asleep at his desk surrounded by ominous creatures.",https://upload.wikimedia.org/wikipedia/commons/b/bc/Francisco_Jos%C3%A9_de_Goya_y_Lucientes_-_The_sleep_of_reason_produces_monsters_%28No._43%29%2C_from_Los_Caprichos_-_Google_Art_Project.jpg
34,Neoclassicism,Napoleon Crossing the Alps,Jacques-Louis David,1801,"A grandiose painting portraying Napoleon Bonaparte on horseback crossing the Alps, symbolizing his military prowess.",https://upload.wikimedia.org/wikipedia/commons/f/fd/David_-_Napoleon_crossing_the_Alps_-_Malmaison2.jpg
35,Neoclassicism,The Third of May 1808,Francisco Goya,1814,"A monumental painting depicting the execution of Spanish civilians during the Peninsular War, showcasing Goya's anti-war sentiment.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/El_Tres_de_Mayo%2C_by_Francisco_de_Goya%2C_from_Prado_thin_black_margin.jpg/1200px-El_Tres_de_Mayo%2C_by_Francisco_de_Goya%2C_from_Prado_thin_black_margin.jpg
36,Neoclassicism,Cupid and Psyche,Antonio Canova,1787-1793,"A marble sculpture depicting the mythological lovers Cupid and Psyche in an embracing pose, showcasing Canova's mastery of sculptural drapery and anatomy.",https://images.metmuseum.org/CRDImages/es/original/DP248228.jpg
37,Neoclassicism,The Raft of the Medusa,Théodore Géricault,1818-1819,"A monumental painting depicting the tragic aftermath of the shipwreck of the French naval frigate Medusa, showcasing the struggles and despair of the survivors.",https://upload.wikimedia.org/wikipedia/commons/1/15/JEAN_LOUIS_TH%C3%89ODORE_G%C3%89RICAULT_-_La_Balsa_de_la_Medusa_%28Museo_del_Louvre%2C_1818-19%29.jpg
38,Neoclassicism,The Emperor Napoleon in His Study at the Tuileries,Jacques-Louis David,1812,"A portrait of Napoleon Bonaparte in his study, capturing the emperor's intense gaze and reflective mood.",https://media.nga.gov/iiif/9d8f80cf-7d2c-455a-9fb9-73e5ce2012b2/full/full/0/default.jpg?attachment_filename=the_emperor_napoleon_in_his_study_at_the_tuileries_1961.9.15.jpg
39,Neoclassicism,The Coronation of Napoleon,Jacques-Louis David,1805-1807,"A monumental painting depicting the coronation of Napoleon Bonaparte and Empress Josephine in Notre-Dame Cathedral, Paris.",https://upload.wikimedia.org/wikipedia/commons/1/1e/Jacques-Louis_David_-_The_Coronation_of_Napoleon_%281805-1807%29.jpg
40,Neoclassicism,The Hay Wain,John Constable,1821,"A landscape painting depicting a hay wain (cart) by a river, showcasing Constable's meticulous attention to detail and his love for the English countryside.",https://upload.wikimedia.org/wikipedia/commons/5/5e/John_Constable_-_The_Hay_Wain_%281821%29.jpg
